issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
08007,2008-01-16,3,4,5,12,28,3,12,37938717,77740690
08008,2008-01-19,2,6,8,17,32,8,9,40965970,85338560
08009,2008-01-21,4,8,12,24,30,5,8,36163472,92121050
08010,2008-01-23,6,23,24,27,29,6,8,36828290,99208884
08011,2008-01-26,14,20,22,24,27,7,10,40209261,106526651
08012,2008-01-28,2,10,29,32,35,2,3,36047488,98520000
08013,2008-01-30,1,11,19,22,35,5,9,35195405,104117935
08014,2008-02-02,4,7,10,28,34,1,6,40784587,106703552
08015,2008-02-04,9,18,20,27,33,6,9,37624757,96703552
08016,2008-02-13,8,10,11,17,19,6,9,31817578,103275539
08017,2008-02-16,2,14,25,29,32,1,6,38618400,90270000
08018,2008-02-18,3,6,7,11,30,2,3,34043634,96685103
08019,2008-02-20,8,24,25,29,31,4,5,35381234,94437363
08020,2008-02-23,4,5,15,17,33,4,8,39990807,90459912
08021,2008-02-25,5,10,13,21,24,4,9,34998095,97357541
08022,2008-02-27,9,12,13,25,31,8,10,35986578,102193304
08023,2008-03-01,6,26,31,32,34,7,10,42696890,59190000
08024,2008-03-03,8,12,17,20,30,1,2,37092316,66941163
08025,2008-03-05,6,10,12,15,28,4,12,36543884,73679841
08026,2008-03-08,1,21,22,24,25,8,10,41359289,74309856
08027,2008-03-10,5,17,23,31,32,4,8,36275066,76382874
08028,2008-03-12,3,11,17,19,26,7,12,37067292,77185698
08029,2008-03-15,6,11,18,29,30,4,11,41196344,81320000
08030,2008-03-17,3,21,23,26,35,5,8,36988855,89085150
08031,2008-03-19,14,20,23,27,28,2,4,36371168,91543214
08032,2008-03-22,3,9,19,27,33,9,10,39050107,95407254
08033,2008-03-24,3,10,21,23,30,1,9,35577965,103673374
08034,2008-03-26,6,7,18,34,35,5,10,37136042,105983517
08035,2008-03-29,2,12,13,29,30,5,7,40647039,90983517
08036,2008-03-31,9,19,22,30,32,1,10,35011394,98543603
08037,2008-04-02,11,20,24,31,35,4,10,35701978,95866644
08038,2008-04-05,12,13,19,32,33,2,10,38899465,96256762
08039,2008-04-07,7,11,15,27,35,4,7,35615468,98031078
08040,2008-04-09,4,8,19,22,29,8,11,34914609,101533132
08041,2008-04-12,7,17,21,22,28,5,10,41082219,104056030
08042,2008-04-14,5,10,13,32,35,4,5,37103662,106578362
08043,2008-04-16,5,8,10,31,33,2,4,36730493,109477552
08044,2008-04-19,2,21,23,27,32,10,11,40146906,112703610
08045,2008-04-21,14,32,33,34,35,2,4,37051277,115485754
08046,2008-04-23,11,25,26,27,35,7,8,36109020,30485754
08047,2008-04-26,12,18,22,23,30,6,12,39085165,29561718
08048,2008-04-28,1,13,22,25,27,2,10,35228776,37179835
08049,2008-04-30,1,11,14,28,30,3,10,34534278,43872638
08050,2008-05-03,1,5,11,26,27,3,7,36504694,43972824
08051,2008-05-05,1,7,9,11,33,3,11,32455286,51521999
08052,2008-05-07,3,18,19,30,35,5,9,36039732,38212276
