issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
10032,2010-03-22,13,16,23,24,33,7,11,56162851,25528100
10033,2010-03-24,12,19,28,29,30,5,8,56215279,10000000
10034,2010-03-27,1,6,19,25,26,3,9,62359829,0
10035,2010-03-29,14,16,20,31,34,1,7,53908713,13641244
10036,2010-03-31,19,25,28,31,33,1,8,55969409,21392744
10037,2010-04-03,19,21,26,34,35,1,9,61763460,25964395
10038,2010-04-05,8,10,25,29,33,1,2,54567749,33493844
10039,2010-04-07,7,19,26,28,32,1,8,56831012,42737714
10040,2010-04-10,13,20,26,31,35,2,11,64431044,33361660
10041,2010-04-12,16,22,28,29,34,4,12,57921241,36230442
10042,2010-04-14,1,5,19,34,35,6,7,57454140,40523882
10043,2010-04-17,5,8,10,33,35,2,10,63884681,46829711
10044,2010-04-19,6,21,24,28,30,2,7,58143721,44227484
10045,2010-04-21,8,17,18,20,28,9,10,57857829,57470828
10046,2010-04-24,2,15,19,26,27,5,6,62764147,61840857
10047,2010-04-26,4,8,11,30,31,2,8,56875743,64225019
10048,2010-04-28,2,3,10,12,25,3,9,58735417,72386113
10049,2010-05-01,1,25,29,31,33,4,10,60877355,49354330
10050,2010-05-03,7,8,15,30,35,5,10,54049738,21849145
10051,2010-05-05,6,10,20,24,32,6,10,55951362,28448605
10052,2010-05-08,4,6,25,29,32,5,6,61493077,42621421
10053,2010-05-10,9,19,22,26,34,9,11,55150582,7621421
10054,2010-05-12,12,25,29,30,33,10,11,55496523,14147277
10055,2010-05-15,13,14,17,27,32,2,10,62315353,17338573
10056,2010-05-17,5,9,23,25,30,9,12,56490604,19842358
10057,2010-05-19,15,17,24,32,35,7,9,57176020,30765762
10058,2010-05-22,6,15,17,19,30,1,12,62359762,46478096
10059,2010-05-24,6,10,14,25,34,1,3,54852390,54737276
10060,2010-05-26,10,13,22,33,34,1,5,56201529,65434443
10061,2010-05-29,5,12,14,17,22,5,7,62194144,78749467
10062,2010-05-31,6,7,18,30,31,7,8,56542229,73712297
10063,2010-06-02,7,14,16,30,31,3,6,57039300,68246190
10064,2010-06-05,7,10,12,20,21,6,9,61531531,54844960
10065,2010-06-07,5,8,13,14,32,8,11,55131467,60429879
10066,2010-06-09,15,21,22,24,27,1,6,56677441,75835656
10067,2010-06-12,1,11,19,30,32,3,10,62600663,73803088
10068,2010-06-14,11,17,19,20,34,6,10,53032771,85182926
10069,2010-06-16,6,17,18,25,29,8,9,53568152,79271311
10070,2010-06-19,5,14,23,25,28,11,12,61210368,88617245
10071,2010-06-21,7,12,26,30,32,2,7,55331384,24617245
10072,2010-06-23,5,10,17,23,25,3,10,54533355,17882324
10073,2010-06-26,4,9,11,30,32,1,11,60608663,26812404
10074,2010-06-28,3,7,20,27,32,2,12,52999626,35805486
10075,2010-06-30,10,12,17,23,27,5,7,53735820,47447468
10076,2010-07-03,9,12,16,19,35,2,12,58643115,54438161
10077,2010-07-05,6,7,9,17,24,2,12,51385724,68192388
10078,2010-07-07,2,3,15,28,35,1,11,52509206,64693013
10079,2010-07-10,1,4,21,22,24,2,5,57860042,73622943
10080,2010-07-12,8,19,27,29,34,4,10,51730394,57991262
10081,2010-07-14,14,18,20,24,27,5,10,53790383,58837329
10082,2010-07-17,5,8,24,29,30,4,6,59031323,59997130
10083,2010-07-19,7,11,21,22,35,4,7,52191517,70427784
10084,2010-07-21,3,13,14,22,26,2,5,53749055,71587264
10085,2010-07-24,2,10,16,18,34,2,3,58856786,83772375
10086,2010-07-26,1,2,12,19,35,5,7,53608302,94543919
10087,2010-07-28,1,12,20,21,24,2,8,55063233,98174483
10088,2010-07-31,3,5,14,30,35,3,6,59905393,108164091
10089,2010-08-02,4,10,13,18,23,8,10,57414129,118078333
10090,2010-08-04,8,24,26,31,32,7,9,58501458,124236856
10091,2010-08-07,6,10,23,26,31,5,7,66214621,139768200
10092,2010-08-09,2,15,29,30,34,2,12,59055333,131117725
10093,2010-08-11,2,4,9,28,29,5,8,61816350,133909187
10094,2010-08-14,20,32,33,34,35,6,7,68284989,52909187
10095,2010-08-16,12,14,16,19,25,1,6,56577946,64588531
10096,2010-08-18,4,9,24,30,35,1,10,58771688,66555735
10097,2010-08-21,9,17,21,28,29,2,8,64370716,76027560
10098,2010-08-23,2,3,12,13,25,1,7,59220089,71443015
10099,2010-08-25,3,11,17,21,30,1,8,58457907,85858323
10100,2010-08-28,19,20,30,33,35,6,8,64495368,83319869
10101,2010-08-30,11,15,22,27,35,5,8,58593813,91341852
10102,2010-09-01,4,15,19,24,35,1,10,58562191,101077959
10103,2010-09-04,10,14,29,30,35,5,8,67247961,99498286
10104,2010-09-06,14,25,30,32,33,1,11,60416556,110525988
10105,2010-09-08,5,17,26,27,35,8,9,62352316,100765234
10106,2010-09-11,5,27,28,29,34,9,12,68873822,100354171
10107,2010-09-13,14,17,22,27,34,3,5,62175316,115890519
10108,2010-09-15,1,10,13,19,34,9,12,62114953,131279571
10109,2010-09-18,1,2,8,11,25,10,12,69672110,135660685
10110,2010-09-20,21,29,30,33,35,7,11,61233010,107660685
10111,2010-09-22,3,6,13,14,29,1,2,57890101,110317336
10112,2010-09-25,14,15,18,34,35,8,10,68835336,122285420
10113,2010-09-27,5,16,22,23,32,4,10,63320398,120731074
10114,2010-09-29,3,7,22,25,35,3,11,63838591,134831903
10115,2010-10-02,5,7,10,15,32,3,8,65524983,136016248
10116,2010-10-04,14,22,27,28,35,4,10,56784987,145289370
10117,2010-10-06,4,6,21,27,34,5,9,62632305,145087752
10118,2010-10-09,19,22,23,29,35,8,10,76404009,137943639
10119,2010-10-11,5,13,14,23,26,2,3,67852382,152111523
10120,2010-10-13,8,10,18,34,35,6,10,69038409,136207855
10121,2010-10-16,21,22,31,32,34,2,12,74948552,127295616
10122,2010-10-18,5,6,11,13,26,2,7,66373725,117473947
10123,2010-10-20,18,20,30,32,33,1,11,66411141,110462088
10124,2010-10-23,1,9,27,29,34,1,6,72653166,124686109
10125,2010-10-25,1,7,9,14,19,9,12,66663335,139208970
10126,2010-10-27,3,5,9,13,33,5,11,66524806,152381273
10127,2010-10-30,3,22,24,30,33,4,10,75260848,153984522
10128,2010-11-01,6,17,19,29,35,2,8,70281583,128813670
10129,2010-11-03,14,15,24,25,26,3,7,70819039,113066453
10130,2010-11-06,5,6,9,10,34,8,11,77341875,127117024
10131,2010-11-08,10,15,22,28,29,4,12,68740049,141390723
10132,2010-11-10,18,21,23,25,29,6,11,69621078,146945257
10133,2010-11-13,11,16,17,21,22,3,6,75926041,154666909
10134,2010-11-15,9,12,13,19,30,4,5,67662077,152182011
10135,2010-11-17,14,17,19,26,32,3,4,70738679,168417353
10136,2010-11-20,3,13,18,30,33,7,8,79923031,163749436
10137,2010-11-22,22,27,28,33,35,9,11,70991878,136378484
10138,2010-11-24,8,12,14,19,27,5,6,71201049,127814283
10139,2010-11-27,3,13,16,19,29,7,9,76745173,115572235
10140,2010-11-29,6,18,20,30,31,3,6,70653318,123567697
10141,2010-12-01,5,11,17,23,33,3,10,71550574,112242527
10142,2010-12-04,10,11,19,21,27,4,6,78555350,116594989
10143,2010-12-06,10,16,18,22,27,6,8,70677872,114682941
10144,2010-12-08,2,11,16,22,31,10,11,70224248,131231569
10145,2010-12-11,18,19,27,28,33,3,6,75190565,108303265
10146,2010-12-13,14,17,30,31,34,4,10,67029732,117052228
10147,2010-12-15,1,15,19,21,23,11,12,66009262,133025584
10148,2010-12-18,3,4,8,10,35,2,6,74147240,148564727
10149,2010-12-20,5,22,24,25,30,1,6,68713293,148967896
10150,2010-12-22,5,24,28,29,35,1,9,70254401,162060141
10151,2010-12-25,1,10,32,33,35,3,8,75884305,97069214
10152,2010-12-27,2,5,18,22,23,7,12,67198522,106070691
10153,2010-12-29,6,7,16,24,35,4,6,67696029,108744805
11001,2011-01-01,7,8,15,32,34,5,12,72601190,106264493
11002,2011-01-03,11,13,27,28,29,2,6,63595435,114577721
11003,2011-01-05,1,24,27,30,31,1,6,66980266,116751373
11004,2011-01-08,7,8,10,23,25,7,9,76345453,130793921
11005,2011-01-10,1,7,25,27,30,7,12,68602032,148709393
11006,2011-01-12,2,8,16,26,35,11,12,68116097,93810617
11007,2011-01-15,14,24,32,33,35,2,9,71802234,104675282
11008,2011-01-17,1,23,26,27,30,5,6,65912879,98414874
11009,2011-01-19,9,10,11,14,24,3,8,65249173,104135936
11010,2011-01-22,4,8,10,14,27,5,7,73127513,120840432
11011,2011-01-24,2,17,23,24,30,2,9,65868407,132249188
11012,2011-01-26,3,12,19,25,30,8,11,67808306,127667330
11013,2011-01-29,5,8,14,28,30,4,6,75146172,139951606
11014,2011-01-31,2,14,20,21,24,2,9,68783676,155416933
11015,2011-02-09,8,18,19,22,23,1,3,61116088,164947287
11016,2011-02-12,15,20,30,33,35,6,9,74768258,177165752
11017,2011-02-14,16,19,24,26,31,2,4,67218101,190209245
11018,2011-02-16,16,22,24,32,34,2,10,71591148,204559462
11019,2011-02-19,8,21,23,27,33,6,11,86106831,190984829
11020,2011-02-21,9,12,19,22,28,1,5,75264171,204915970
11021,2011-02-23,1,9,13,17,30,2,8,77486022,216528880
11022,2011-02-26,9,14,24,25,34,1,4,88756676,235318601
11023,2011-02-28,5,13,16,18,24,2,12,78141115,238779266
11024,2011-03-02,12,15,16,20,33,8,12,79549112,247441137
11025,2011-03-05,8,9,25,28,29,2,10,90511689,254653894
11026,2011-03-07,1,9,15,20,29,7,9,82639796,272445556
11027,2011-03-09,5,14,25,34,35,2,5,84423224,266248099
11028,2011-03-12,1,2,13,17,28,1,4,91860917,286700891
11029,2011-03-14,3,9,17,24,28,6,12,80911079,283471208
11030,2011-03-16,15,19,25,30,33,3,8,81778553,232471208
11031,2011-03-19,12,17,19,22,35,4,11,93937733,250852819
11032,2011-03-21,7,16,23,31,33,3,10,81643680,254707534
11033,2011-03-23,3,19,24,29,33,3,9,83735466,256334761
11034,2011-03-26,3,6,9,17,27,3,9,94247323,279221801
11035,2011-03-28,3,4,13,15,32,4,9,84025048,298041572
11036,2011-03-30,3,18,29,30,33,8,9,85781802,313269458
11037,2011-04-02,1,12,14,22,24,10,12,96693251,322942088
11038,2011-04-04,7,9,11,13,33,10,12,80422215,326387365
11039,2011-04-06,1,11,14,22,34,6,8,85116728,327322701
11040,2011-04-09,3,7,15,18,20,1,6,96069406,348774894
11041,2011-04-11,4,5,11,13,25,3,6,87556274,341699221
11042,2011-04-13,6,9,18,30,32,10,12,87928876,349947313
11043,2011-04-16,2,8,23,33,35,5,10,93914514,361242100
11044,2011-04-18,11,21,24,26,31,6,7,89608392,371458144
11045,2011-04-20,13,21,22,29,31,7,11,95364376,387770674
11046,2011-04-23,9,15,16,19,29,4,6,107968006,381020504
11047,2011-04-25,2,15,22,33,35,5,8,96770184,386905515
11048,2011-04-27,13,17,25,27,28,2,3,97367653,361905515
11049,2011-04-30,5,6,10,22,25,1,9,105382597,357714362
11050,2011-05-02,4,7,29,32,33,8,10,87452567,360591452
11051,2011-05-04,6,8,12,17,18,5,10,94449532,360501853
11052,2011-05-07,13,24,31,32,33,3,9,103826788,349623523
11053,2011-05-09,3,16,28,31,32,1,9,92967750,372405323
11054,2011-05-11,5,9,16,26,35,3,10,96198701,392030969
11055,2011-05-14,1,7,31,32,35,2,10,121919915,419164003
11056,2011-05-16,3,5,29,30,31,8,10,113369983,414373623
11057,2011-05-18,7,11,30,31,34,9,12,111836045,426872297
11058,2011-05-21,1,9,27,32,33,3,6,123623363,303872297
11059,2011-05-23,9,16,21,29,34,7,10,111037756,328983692
11060,2011-05-25,3,25,29,32,34,9,10,110273508,327233734
11061,2011-05-28,6,7,16,18,20,4,10,119067560,325886265
11062,2011-05-30,6,10,17,20,21,3,7,104437410,326866617
11063,2011-06-01,10,17,18,26,32,1,5,103484742,348759449
11064,2011-06-04,1,6,27,30,34,1,6,114835819,362140610
11065,2011-06-06,3,11,14,25,34,1,4,96759634,375078277
11066,2011-06-08,6,13,18,20,33,9,10,102319445,395795484
11067,2011-06-11,10,17,22,24,32,3,10,117519124,367347891
11068,2011-06-13,1,13,16,18,32,7,9,105704934,380952965
11069,2011-06-15,3,5,28,29,33,4,12,105442230,377697008
11070,2011-06-18,9,19,22,29,30,2,8,116191211,306602546
11071,2011-06-20,27,31,33,34,35,4,6,105844387,299596663
11072,2011-06-22,3,11,13,20,35,3,8,103091748,319871133
11073,2011-06-25,13,19,20,22,33,5,11,114496899,317666106
11074,2011-06-27,7,16,23,28,31,3,6,102090087,138721670
11075,2011-06-29,6,9,20,23,28,6,10,99290929,137633524
11076,2011-07-02,18,23,25,29,30,1,2,108032153,140694437
11077,2011-07-04,5,8,19,33,34,1,12,94881787,149491545
11078,2011-07-06,4,9,16,27,30,2,6,96091331,146794221
11079,2011-07-09,1,3,23,30,31,2,10,109599428,162610282
11080,2011-07-11,5,12,30,31,32,1,3,93978157,180641784
11081,2011-07-13,4,13,20,21,35,2,9,95329740,197429220
11082,2011-07-16,7,20,25,30,32,5,9,106787273,184396669
11083,2011-07-18,6,8,18,20,24,4,8,94242715,182379281
11084,2011-07-20,14,29,31,34,35,1,12,95024927,199987836
11085,2011-07-23,2,17,19,21,22,3,10,102298924,181023381
11086,2011-07-25,4,5,6,9,15,1,6,89388176,200963433
11087,2011-07-27,6,13,20,25,34,7,9,91364808,192547274
11088,2011-07-30,20,21,27,29,35,3,8,104344297,184852679
11089,2011-08-01,5,6,23,27,34,3,4,92442848,207931278
11090,2011-08-03,2,4,29,30,34,5,8,92181969,223262272
11091,2011-08-06,11,17,23,29,30,6,8,103226069,234735997
11092,2011-08-08,10,17,19,32,33,1,12,90900093,234885420
11093,2011-08-10,4,6,8,19,31,10,11,90159691,252703120
11094,2011-08-13,11,21,22,32,34,4,8,98719396,242990584
11095,2011-08-15,9,12,17,19,29,6,11,88632964,244892108
11096,2011-08-17,3,8,20,24,25,1,2,92112778,245245462
11097,2011-08-20,4,19,28,31,33,11,12,101197498,256846500
11098,2011-08-22,6,7,28,33,35,1,10,90755796,257814962
11099,2011-08-24,2,6,9,12,20,5,8,90999691,258383576
11100,2011-08-27,8,11,13,28,33,8,9,100342747,260611163
11101,2011-08-29,5,12,20,28,30,3,7,90688655,14156217
11102,2011-08-31,19,24,28,31,34,4,12,82689764,25254149
11103,2011-09-03,3,4,26,29,34,1,3,94563941,27371055
11104,2011-09-05,7,19,27,28,34,2,5,83754211,27080587
11105,2011-09-07,2,11,26,32,33,5,12,86608080,47353889
11106,2011-09-10,1,9,29,30,35,5,9,91808460,0
11107,2011-09-12,2,6,18,30,32,1,8,72822076,20989564
11108,2011-09-14,7,15,18,24,28,1,7,79849685,38197639
11109,2011-09-17,1,11,12,22,34,8,10,91438308,52990177
11110,2011-09-19,30,31,33,34,35,4,7,81941832,10000000
11111,2011-09-21,2,11,13,23,31,11,12,70482914,25888039
11112,2011-09-24,6,17,28,32,33,8,12,84408746,36043587
11113,2011-09-26,4,5,7,10,12,4,5,78810315,43144622
11114,2011-09-28,6,8,17,27,35,2,11,77707216,59148718
11115,2011-10-01,17,26,30,31,35,6,11,83064433,75408885
11116,2011-10-03,10,15,18,19,26,7,12,70949104,91469633
11117,2011-10-05,10,12,28,32,33,3,5,74465435,93150429
11118,2011-10-08,4,7,11,32,35,5,7,92127620,113105840
11119,2011-10-10,4,15,20,26,31,6,12,84425624,132763457
11120,2011-10-12,20,25,26,30,31,9,10,84084781,70955762
11121,2011-10-15,2,3,30,31,33,3,9,90476880,88050408
11122,2011-10-17,3,8,23,24,34,5,12,81834817,88150642
11123,2011-10-19,10,14,18,19,35,1,6,83017071,90578986
11124,2011-10-22,8,12,14,20,25,6,8,91126295,109336208
11125,2011-10-24,7,10,27,34,35,10,12,81800266,126631088
11126,2011-10-26,7,17,29,30,33,10,12,84597838,121775456
11127,2011-10-29,1,11,22,26,29,5,8,93458807,126403896
11128,2011-10-31,3,4,6,11,13,1,2,86120096,147214578
11129,2011-11-02,1,7,13,18,23,4,8,85738115,166898558
11130,2011-11-05,8,9,13,23,35,11,12,95428576,169772009
11131,2011-11-07,3,5,12,18,33,7,11,86318167,173711416
11132,2011-11-09,12,14,16,19,33,2,9,85110386,181219052
11133,2011-11-12,4,11,23,26,35,3,12,95538914,155586179
11134,2011-11-14,1,10,12,14,17,9,10,85194456,176136024
11135,2011-11-16,6,22,29,33,35,3,12,86259820,183215202
11136,2011-11-19,8,9,11,19,33,3,12,94285070,187894014
11137,2011-11-21,2,15,18,23,31,1,2,85186217,205106425
11138,2011-11-23,17,23,26,30,32,6,12,86193005,192215936
11139,2011-11-26,4,6,10,15,16,3,4,95740821,204116699
11140,2011-11-28,1,12,32,33,34,9,11,84991439,194719682
11141,2011-11-30,2,11,19,22,35,10,12,83501512,190726011
11142,2011-12-03,4,26,30,33,34,4,6,94416077,180227762
11143,2011-12-05,8,9,12,25,33,7,10,85953558,186088213
11144,2011-12-07,7,18,24,28,33,2,3,84813847,197910066
11145,2011-12-10,7,15,19,24,29,4,6,92985042,208226606
11146,2011-12-12,9,13,19,29,34,2,11,86403431,227180037
11147,2011-12-14,1,15,16,27,28,2,7,88349665,238328635
11148,2011-12-17,7,10,11,26,31,3,4,93916125,236831159
11149,2011-12-19,2,7,12,29,31,3,5,87367470,245776977
11150,2011-12-21,13,22,30,33,34,6,12,86462940,211919872
11151,2011-12-24,7,11,14,20,27,3,10,96680030,210904537
11152,2011-12-26,1,4,6,21,35,2,11,86403094,228103496
11153,2011-12-28,6,22,29,30,35,3,5,88096248,243156811
11154,2011-12-31,4,12,16,20,28,8,11,101724253,262691603
12001,2012-01-02,7,27,28,32,33,1,12,82753736,234100467
12002,2012-01-04,3,11,14,26,29,7,8,86112821,238711466
12003,2012-01-07,16,22,24,33,34,3,10,97363283,239743471
12004,2012-01-09,10,11,22,31,32,6,7,86852728,254045459
12005,2012-01-11,1,2,29,31,33,7,12,87772129,268966261
12006,2012-01-14,3,20,22,25,27,1,9,95280803,280396272
12007,2012-01-16,4,5,13,17,25,7,10,84157452,286271587
12008,2012-01-18,6,8,30,31,32,1,11,84499619,289611772
12009,2012-01-21,6,14,20,29,35,9,10,102935799,299389761
12010,2012-01-30,25,26,29,32,34,5,7,81078669,314253773
12011,2012-02-01,5,19,22,29,30,2,4,81889658,318247147
12012,2012-02-04,6,18,22,30,35,2,7,92326799,320252410
12013,2012-02-06,7,8,11,12,24,1,2,82271346,281212681
12014,2012-02-08,10,14,24,30,32,1,12,83871244,281574644
12015,2012-02-11,12,13,24,26,33,6,8,95884232,275778245
12016,2012-02-13,5,14,20,29,31,8,12,87031289,294074410
12017,2012-02-15,6,11,22,29,34,3,12,88488285,205074410
12018,2012-02-18,3,10,14,29,31,4,8,99822905,227011384
12019,2012-02-20,7,9,17,30,34,1,12,89499046,232722464
12020,2012-02-22,12,14,27,29,34,3,6,90897202,241041919
12021,2012-02-25,10,15,21,31,34,7,8,99364364,237838706
12022,2012-02-27,7,12,20,33,35,1,10,90283501,230699005
12023,2012-02-29,7,9,17,29,35,9,10,91666115,231239956
12024,2012-03-03,3,11,17,21,30,3,7,97249349,210442692
12025,2012-03-05,1,2,5,12,27,4,7,87875533,220170940
12026,2012-03-07,10,11,22,23,29,2,9,85927802,209315120
12027,2012-03-10,3,10,11,22,31,5,7,95971572,189752158
12028,2012-03-12,10,12,15,33,34,3,10,86559171,198411361
12029,2012-03-14,4,7,8,18,29,7,10,89622157,213113822
12030,2012-03-17,3,21,22,26,32,1,3,98542242,224610048
12031,2012-03-19,19,21,23,25,30,3,8,86577924,222387989
12032,2012-03-21,7,8,16,26,34,7,11,86307926,241879359
12033,2012-03-24,8,13,19,27,32,1,8,94884885,261869884
12034,2012-03-26,1,8,15,16,29,8,9,85603413,259501847
12035,2012-03-28,1,4,30,32,35,8,12,85560035,255400272
12036,2012-03-31,1,9,20,30,31,8,12,93125386,275715296
12037,2012-04-02,9,13,27,31,35,3,10,78247988,288320107
12038,2012-04-04,11,23,25,31,35,1,3,79903202,308092525
12039,2012-04-07,15,21,22,24,35,1,5,93381476,305743107
12040,2012-04-09,2,13,23,28,29,1,5,83497529,324915094
12041,2012-04-11,1,2,13,22,23,2,10,83292294,328725027
12042,2012-04-14,7,24,27,28,35,7,12,91457793,317892751
12043,2012-04-16,1,6,25,31,34,3,9,84038794,330934635
12044,2012-04-18,3,4,14,32,35,1,2,85892219,325410674
12045,2012-04-21,5,11,17,20,28,11,12,92180256,327494107
12046,2012-04-23,4,8,19,23,27,4,11,82530964,342272592
12047,2012-04-25,5,7,17,30,34,3,10,84357630,355708159
12048,2012-04-28,6,9,26,30,35,5,6,94540722,343351390
12049,2012-04-30,9,18,22,27,31,10,12,78398644,358707839
12050,2012-05-02,13,17,22,28,29,1,10,83400618,357744136
12051,2012-05-05,1,2,17,18,33,5,12,92673669,370141010
12052,2012-05-07,10,20,26,31,33,10,12,81471740,377226308
12053,2012-05-09,11,12,26,28,31,7,12,82756548,395477861
12054,2012-05-12,1,16,18,27,30,10,11,93112833,391349045
12055,2012-05-14,7,22,26,32,33,1,8,84354924,387386703
12056,2012-05-16,11,21,23,26,34,7,9,86198008,386376159
12057,2012-05-19,1,2,14,33,34,3,5,93786172,395939072
12058,2012-05-21,13,21,29,31,35,4,12,94702479,386647639
12059,2012-05-23,9,13,19,21,27,3,4,95348657,379705028
12060,2012-05-26,2,16,21,24,30,6,10,101189600,384536427
12061,2012-05-28,5,10,14,27,33,7,9,90048368,384347790
12062,2012-05-30,21,32,33,34,35,8,9,92554549,228347790
12063,2012-06-02,11,25,26,29,35,1,2,98939363,227036376
12064,2012-06-04,9,12,13,15,30,9,10,90348096,229995094
12065,2012-06-06,10,22,28,29,34,5,11,90420169,227963752
12066,2012-06-09,1,20,25,29,33,4,6,98611893,247731515
12067,2012-06-11,20,22,27,30,33,1,2,88206089,256596305
12068,2012-06-13,1,21,31,32,35,3,6,89260141,263814038
12069,2012-06-16,2,4,22,25,34,2,11,101566246,276745169
12070,2012-06-18,9,22,23,32,34,6,8,90123786,292784939
12071,2012-06-20,13,23,29,31,34,6,8,91655172,286925096
12072,2012-06-23,4,8,17,22,25,4,10,96524190,306680564
12073,2012-06-25,18,23,29,33,34,2,7,88041836,311595963
12074,2012-06-27,10,22,23,30,32,1,7,89310405,70930242
12075,2012-06-30,7,9,10,18,22,5,10,91308852,90026538
12076,2012-07-02,2,14,16,22,24,2,5,80072550,110771249
12077,2012-07-04,10,30,32,33,34,2,3,80443734,82771249
12078,2012-07-07,1,2,23,25,35,5,12,90043223,80255739
12079,2012-07-09,1,5,25,32,33,1,10,79358981,92633784
12080,2012-07-11,11,12,14,25,28,2,5,80420397,110424961
12081,2012-07-14,10,16,17,30,35,1,8,88440294,113317516
12082,2012-07-16,2,4,9,10,15,8,10,80587602,114033805
12083,2012-07-18,16,19,28,29,31,5,8,80519889,119081870
12084,2012-07-21,21,24,27,29,31,1,2,87316969,122538709
12085,2012-07-23,7,18,29,31,33,10,12,79262178,82168393
12086,2012-07-25,3,20,25,29,32,5,10,78946927,95922991
12087,2012-07-28,1,6,7,21,31,4,11,87077255,110130296
12088,2012-07-30,13,17,24,30,35,2,10,77824388,108698300
12089,2012-08-01,6,12,21,29,32,6,11,78492327,125297322
12090,2012-08-04,2,21,27,29,33,2,10,86568483,130347386
12091,2012-08-06,3,10,28,31,33,1,9,78967695,129358969
12092,2012-08-08,8,9,23,25,31,2,12,77673891,124289219
12093,2012-08-11,2,16,21,31,33,4,11,88134396,133431285
12094,2012-08-13,2,14,23,32,35,1,10,78940678,127108672
12095,2012-08-15,6,9,22,27,30,8,12,81331179,122925022
12096,2012-08-18,5,10,19,24,35,8,9,88805215,138933742
12097,2012-08-20,9,17,24,29,32,1,2,80344147,142144368
12098,2012-08-22,2,11,28,29,30,6,12,82055498,140602551
12099,2012-08-25,12,18,24,25,32,2,12,90063317,160992010
12100,2012-08-27,7,9,13,19,27,1,3,81304308,97280598
12101,2012-08-29,2,5,8,9,31,3,7,80597889,109329359
12102,2012-09-01,2,4,6,13,35,4,8,87514716,118360865
12103,2012-09-03,2,9,18,23,24,1,4,79540358,121552988
12104,2012-09-05,16,18,24,25,27,4,9,81198871,140640872
12105,2012-09-08,5,6,14,15,31,6,8,89754073,138411865
12106,2012-09-10,15,23,25,29,31,9,10,80675002,137174318
12107,2012-09-12,4,7,9,22,33,1,3,81786911,153914360
12108,2012-09-15,6,7,12,24,35,2,6,90264220,157260079
12109,2012-09-17,1,22,30,32,35,9,11,81799464,144611573
12110,2012-09-19,1,11,17,19,26,5,12,81741224,125852385
12111,2012-09-22,1,24,25,30,33,4,11,88314707,143493586
12112,2012-09-24,1,2,28,31,35,5,7,81099610,140279011
12113,2012-09-26,3,10,22,27,29,3,12,80773978,133756829
12114,2012-09-29,3,6,21,33,35,1,7,89017250,154150771
12115,2012-10-01,1,6,13,19,23,6,9,69446925,169023532
12116,2012-10-03,1,11,18,20,22,7,10,72022417,184689749
12117,2012-10-06,1,12,18,21,33,7,8,86058922,181213469
12118,2012-10-08,5,17,25,30,33,1,12,82368464,198330008
12119,2012-10-10,5,6,9,19,32,6,9,84197556,203401661
12120,2012-10-13,2,10,21,23,29,3,4,93463759,205781709
12121,2012-10-15,7,18,20,29,30,5,6,85404825,180675093
12122,2012-10-17,23,24,25,29,31,3,12,84662712,185975688
12123,2012-10-20,5,8,18,30,33,1,9,92384268,183245311
12124,2012-10-22,7,11,19,20,35,5,10,84938472,185343410
12125,2012-10-24,6,14,17,22,35,1,2,86722271,202092498
12126,2012-10-27,13,14,21,28,29,5,10,95611728,222582953
12127,2012-10-29,12,13,14,25,35,10,12,87738452,232101513
12128,2012-10-31,9,10,19,30,31,4,11,86991830,158101513
12129,2012-11-03,1,7,21,28,31,3,9,94242307,162359872
12130,2012-11-05,14,19,23,29,30,6,7,87503658,162055982
12131,2012-11-07,2,16,18,27,30,8,12,90069224,165300948
12132,2012-11-10,5,8,21,25,33,1,11,99422591,158224875
12133,2012-11-12,5,7,13,29,30,1,5,91763431,177867882
12134,2012-11-14,1,6,18,32,35,2,7,90893857,174119756
12135,2012-11-17,3,5,17,18,33,6,7,99774197,195352677
12136,2012-11-19,2,23,29,30,31,1,4,93630031,187811157
12137,2012-11-21,3,12,20,21,27,1,6,92645458,176275822
12138,2012-11-24,13,17,27,31,33,6,12,99444792,168189135
12139,2012-11-26,9,10,12,22,25,4,11,89470036,159798479
12140,2012-11-28,7,17,27,28,29,9,10,89995813,102910036
12141,2012-12-01,3,11,19,23,34,2,12,97483582,109227850
12142,2012-12-03,15,19,29,34,35,7,10,90411341,109794215
12143,2012-12-05,9,27,29,30,31,3,6,90699066,102870962
12144,2012-12-08,11,13,14,21,29,1,10,100893900,3369368
12145,2012-12-10,5,22,31,33,35,6,9,83242808,22893881
12146,2012-12-12,1,10,13,17,26,6,8,88326469,22302458
12147,2012-12-15,2,3,17,19,33,2,9,95259080,28529333
12148,2012-12-17,4,16,27,29,34,6,11,86921952,32076134
12149,2012-12-19,2,10,23,33,34,5,10,86183124,30708485
12150,2012-12-22,2,14,18,24,31,2,3,93073171,51830291
12151,2012-12-24,3,19,20,24,33,3,4,84629482,69714376
12152,2012-12-26,4,17,26,33,34,2,8,86036210,42430665
12153,2012-12-29,8,9,10,13,22,5,10,92912437,54890188
12154,2012-12-31,3,26,27,31,32,3,9,85173381,69462813
13001,2013-01-02,6,9,11,31,32,5,11,82539302,87583599
13002,2013-01-05,4,20,27,31,32,6,12,97887870,108094375
13003,2013-01-07,1,16,18,21,31,9,12,92114091,120141232
13004,2013-01-09,7,8,12,20,25,3,7,93113469,101548129
13005,2013-01-12,18,22,26,28,31,10,12,102731749,123594996
13006,2013-01-14,8,20,25,31,32,5,7,91873354,126585204
